Chapter_Title,Start_Page,End_Page,Text_Content
CHAPTER 1,1,2,"........................................................................................................................................... 8
INTRODUCTION..................................................................................................................................8"
1.0 BACKGROUND STUDY,3,4,...........................................................................................................8
1.1 STATEMENT OF PROBLEM,5,6,.................................................................................................... 9
1.3 AIM AND OBJECTIVES,7,8,......................................................................................................... 10
1.4 METHODOLOGY,9,10,"....................................................................................................................10
1. 4 SCOPE AND LIMITATIONS.................................................................................................. 11"
1.5 SIGNIFICANCE,11,12,....................................................................................................................... 12
CHAPTER 2,13,14,"...........................................................................................................................13
LITERATURE REVIEW..........................................................................................................13"
2.0. INTRODUCTION,15,16,......................................................................................................13
2.1. HISTORICAL BACKGROUND OF RESEARCH,17,18,.......................................................14
2.2. OVERVIEW OF EXISTING SYSTEMS,19,20,.....................................................................16
2.3. REVIEW OF RELATED WORK,21,22,.................................................................................17
2.3.1. SUMMARY OF REVIEWED WORKS,23,24,.................................................................... 20
2.4. STRENGTH AND WEAKNESS OF EXISTING SYSTEMS,25,26,.......................................21
2.5. GENERAL COMMENT,27,28,..............................................................................................22
CHAPTER 3,29,30,"...........................................................................................................................24
SYSTEM ANALYSIS AND DESIGN................................................................................................ 24"
3.1 INTRODUCTION,31,32,.....................................................................................................................24
3.1 SYSTEM ANALYSIS,33,34,...............................................................................................................24
3.1.1 DESIGN,35,36,..................................................................................................................................25
3.2 FEASIBILITY REPORT,37,38,...........................................................................................................26
3.3 DATABASE DESIGN,39,40,...............................................................................................................28
3.4 REQUIREMENTS SPECIFICATIONS,41,42,"....................................................................................29
FUNCTIONAL REQUIREMENTS......................................................................................... 29
NON-FUNCTIONAL REQUIREMENTS............................................................................... 30
References:...........................................................................................................................34"
"CHAPTER 1
INTRODUCTION",43,44,
1.0 BACKGROUND STUDY,45,46,"TripAdvisor is right at the centre of shaping world travel experiences for millions. Providing
a whole ecosystem through user-generated content, it enables travellers to plan and enjoy
their trip even more than before and enhance it afterwards. Primarily, TripAdvisor harnesses
authentic reviews, ratings, and insights provided by travellers, whereby users are guaranteed
a reliable guide through hotels, restaurants, attractions, and destinations. It enables tourists to
make informed decisions, avoid upsetting surprises, and search out those little-known places
that can prove to be the remembered gems of their trips.
Travelling and discovering new locations is many people's dreams. Be it for the first time the
place is seen, or knowing new aspects of some place that is familiar, making the most out of a
journey often involves huge research. Travellers have to invest quite a bit of time in
researching various websites for information on local attractions, what to do on site, and not
least, logistics such as where to stay or eat. The search is cumbersome and very
time-consuming, which makes it difficult for travellers to plan with confidence an
unforgettable, stress-free experience.
But fortunately, all that hassle can be mitigated so much with the power of AI. Our project
will help travellers create your plans in the most advanced manner, generating an easy
itinerary. The program will allow the user to search for the place he intends to visit and
further provide details, such as how many days he will stay, how much of a budget he has,
and how many people will accompany him. Equipped with this information, our AI system
elaborately creates an organised itinerary to fit their needs.
The AI makes its proposals based on key factors: the ideal times of visits to certain places,
cost estimates, and personalised recommendations, keeping users out of many hassles by
having them visit several websites. It consolidates all that into one intuitive platform for easy

access by the traveller of all they will need to maximise their travel experience. The
far-reaching vision of our platform is to enable travellers to experience seamless and
hassle-free travel planning, making their dream travel come true with the least effort and high
preciseness."
1.1 STATEMENT OF PROBLEM,47,48,"It is exciting to travel to new destinations, but often the logistics of how to get around and
experience the best of your vacation is quite a challenge. This, sadly, turns a potentially great
experience into a nightmare. Travellers are met with numerous options to choose from on
stay, eating, sightseeing, and entertainment. Otherwise, if there is no clear, organised plan,
then that time is hard to be well spent and the whole adventure is not pleasurable in all its
aspects.
With a view to solving this problem, we presently work on an innovative online system,
tailored to make vacation planning easier and every trip a memorable adventure. It will be
fully integrated with Gemini AI, one of the most developed artificial intelligence engines.
Gemini AI responds with a fully personalised and structured itinerary aimed at meeting their
needs. It is an intelligent system that takes into consideration ideal local attractions, activities
matching your interests, ideal accommodations, recommended dining options, and transport
options.
With our system, the traveller does not have to bear the stress and monotony of vacation
planning. They can be rest-assured that everything has been thought of down to the minutest
detail and allows them to look forward in anticipation of their next adventure. In this manner,
our system makes vacation planning gruelling into smooth, making travel far easier and
enjoyable than ever for any type of traveller."
1.3 AIM AND OBJECTIVES,49,50,"The main objective of this work is to develop an online artificial intelligence travel platform
that would make travel planning easier by offering a complete, customised itinerary that best
fits the traveller's preference, budget, and length of stay. By using artificial intelligence, the

website would aim at making the whole travel experience much easier and less stressful but
at the same time enjoyable.
Objectives of the project:
1. Create an Intuitive User Interface
2. Implement AI-Driven Itinerary Generation
3. Provide Real-Time Recommendations
4. Improve User Experience through Personalisation
5. Testing of the system to achieve optimum performance.
In realising these objectives, the platform will offer an uninterrupted one-stop-shop travel
planning experience that renders exploration of new destinations exciting yet less taxing."
1.4 METHODOLOGY,51,52,"Planning and Analysis
a.
Requirement Gathering: Determine key user requirements that include easy itinerary
generation, budget management, and personalised recommendations.
b. Feasibility Study: Assess the technical viability and financial viability of integration
using AI through Gemini AI; additional study of scalability of the platform.
Design and Architecture
a.
System Architecture: Overall architecture definition with strong focus on integration
with Gemini AI and data sources.
b. User Interface Design: The interface will be designed with design tools to make it
intuitive and user-friendly.
c.
Database Structure: Provide an efficient database schema that would handle users'
preferences, itineraries, and travel information with ease.
Implementation
a.
Frontend Development: Create a responsive front-end application using modern UI
frameworks like React. Apply the styles to make it look appealing for the user.

b. Backend Development: Build backend services for AI processing, data fetching,
authentication of users, etc.
c.
AI Integration: Incorporate and optimise AI to generate personalised itineraries based
on the inputs given by the user.
Testing and Quality Assurance
a.
Functional Testing: Test the functionality of each feature that would be used to
generate an itinerary and show data in tabular form.
b. Usability Testing: Test real users to get an idea about the usability and user experience
of the system.
c.
Performance Testing: The system should be able to handle big data, being performant
with rapid responses.
Deployment and Maintenance
a.
Initial Deployment: The platform shall be hosted on a scalable cloud service that
houses all operational features.
b. Continuous Monitoring: Use monitoring tools to track performance and uptime.
1. 4 SCOPE AND LIMITATIONS
The scope of this project would involve the development of an AI-powered travel planning
platform which simplifies and enriches the process of organising trips. It will be able to take
input, such as destination, duration, budget, and group size, among other information, and
provide a complete, personalised itinerary. The system will provide functions related to cost
estimation, timing of activities, accommodation recommendations, dining recommendations,
and even integrating reviews and recommendations from reputable sources. The AI used in
this application will help the user save time and create an entertaining travel experience.
However, there are a few challenges regarding the project. The quality and
comprehensiveness of the data available will be highly determinative regarding building
relevant and useful itineraries proposed by artificial intelligence. In some cases, information
might be outdated or partial, which could impact the accuracy of suggestions. Also, some
external factors, such as weather, sudden changes in travel restrictions, and current events
occurring at local levels, may not be fully taken into account. Furthermore, while AI does a

great job of attempting to tailor experiences, in some cases, this might not turn out precisely
right for all user preferences-particularly those that are very niche or specific. Lastly, it will
require constant maintenance and updates so that the system remains relevant and at its best,
especially when the travel trend or user expectation changes."
1.5 SIGNIFICANCE,53,54,"The relevance of this project can be regarded as the potential to fundamentally change the
pattern of people's research and planning for their trips. The proposed platform covers the
power of AI, addresses pain points common to travellers, such as researching destinations,
activities to stay, and budget management, among other challenges. More importantly, the
AI-powered solution saves time and delivers a customised, detailed itinerary that enables one
to make full use of a trip without stress.
This project makes travel experiences even better through real-time, personalised
recommendations while exposing the best-kept secrets and common mistakes one should
avoid. It democratises expert travel planning so that the best advice is available to all,
regardless of travel experience. Moreover, because it can present the most economical
options along with precise cost estimates, this platform is desirable for a wide range of
travellers-from budget-conscious explorers to luxury seekers.
The overall value of the project consists in its enhancement of convenience; it maximises
enjoyment while trying to solve a need-a solution which adapts to users' needs and
preferences."
"CHAPTER 2
LITERATURE REVIEW",55,56,
2.0. INTRODUCTION,57,58,"Travel, for so long, has been an experience greatly loved by many, always providing the
chance to explore different places, cultures, and recollections. Yet, the process of trip
planning often carries its own concerns. The travellers have to run through a wide range of
sources to obtain information on the tourist spots, lodging options, dining facilities, and
transportation thereby, completing the whole thing which can be very stressful and lengthy.
The problems in the development of a travel experience that is both well-organised and
enjoyable have overgrown into a largely negative impact on holidays.
TripAdvisor, a travel planning website which opened a new pathway for content that has
been created by the users themselves, uniquely, the platform gives space to the travellers to
upload a review, rate the customer service, and most importantly provide the
recommendations to the other travellers. Through reviews, ratings, and referrals of other
travellers, sites such as TripAdvisor provide better insight into hotels, restaurants, and
attractions. Nevertheless, with the shortcuts, which they are, these platforms have again put
the users in the position of having to wade through the bottomless information available in
order to arrange a properly structured trip.
With the development of artificial intelligence, there is today a new chance, for bettering the
procedure, to this extent. Our project rides on the Gemini AI artificial intelligence engine,
which is the most up-to-date one, in order to create a broad, easy-to-use online site that will
generate personalised itineraries to the traveller based on the preferences, budget, and stay
duration. By aggregating various parameters of travel planning like accommodation,
activities, dining, and transportation into one smooth platform, the system makes sure that a
user’s whole experience is a synchronised one. The burden of travel planning is completely
eliminated through this innovative approach, making the process not only easier but also
enabling travellers to enjoy their journey with minimal effort.

The aim of this initiative is to provide a platform where users can design personalised trips
that prioritise their unique interests and preferences, creating experiences that are enjoyable
and fulfilling. By leveraging AI’s powerful information-processing capabilities, the platform
offers a human-centred design that represents a significant breakthrough in travel planning."
2.1. HISTORICAL BACKGROUND OF RESEARCH,59,60,"Across the last century, travel advisory services have experienced notable advancements in
their design, transitioning from traditional printed travel guides to modern, AI-driven
platforms. Travellers drew heavily on early travel guides like Michelin and Baedeker, which
were published in the late 1800s and early 1900s, and provided information on destinations,
accommodations, local attractions, etc. (Turner & Ash, 1976). These printed materials were
crucial in providing information about the best places to visit, stay, and eat, which had a
significant impact on travel experiences prior to digitalization. The.
Traditional print media was replaced by digital in the travel industry with the advent of the
internet in about 1990. Websites like Lonely Planet and Fodor's emerged, providing effortless
access to information on travel destinations, accommodations, and events. These early digital
travel platforms were instrumental in the development of a successful industry for online
travel advisory services.
Despite this, the introduction of TripAdvisor in 2000 was a significant breakthrough that
transformed the travel advisory industry. Travellers were able to share their own experiences
through reviews and ratings on TripAdvisor by using a user-generated content model, which
marked ten years of travel planning. O'Connor (2008) highlights the democratisation of travel
advice by shifting from expert-led recommendations to user-generated content, which
enabled travellers to receive real-time feedback and recommendations from other
backpackers. The site swiftly expanded to incorporate a diverse array of travel-related
features, such as hotels and restaurants, tourist attractions or transportation choices. The
mid-2000s saw TripAdvisor take on the role of the world's leading travel website,
revolutionising the way people planned and booked their trips.

As the internet evolved, so did the role of technology in travel advisory sites.? In the 2010s,
mobile applications became popular, enabling users to access on-the-go travel information
and receive real-time updates during their trips. Initially, these websites integrated social
networking features like the ability to share travel plans and experiences with companions
that increased user engagement. With the rise of social media, real-time recommendations,
and mobile technology (Law, Leung, & Buhalis, 2009), travel planning has become more
interactive and accessible.
In recent years, travel advisory platforms have been driven more by artificial intelligence
(AI) than by humans. Due to the processing power of AI, it can now provide personalised
suggestions that cater to individual traveller preferences. It is now common for AI-driven
systems to create personalised journeys that factor in various factors such as cost, interest,
and travel duration (Li et al. TripAdvisor and other AI-driven services offer users real-time,
dynamic advice on accommodations, dining options, activities, and more, making travel
planning easier and enjoyable (Huang & Benyoucef, 2013). By implementing these
innovations, the focus has shifted from information-based delivery to personalised
experiences that make trip planning less stressful and more time-efficient.
As AI continues to evolve, the future of travel advisory platforms appears to be paved with
more opportunities to leverage predictive analytics and machine learning to anticipate
travellers' needs before they are already booked (Gretzel & Jamal, 2009). Today, AI-driven
platforms are poised to revolutionise the travel experience by consolidating all aspects of the
journey into a single intuitive platform.
In other words, travel advisory systems moved from guidebooks in print format to digital
platforms reliant on user-generated content and, lately, to AI-enhanced systems. Let's just say
that these incumbent platforms are limited with regards to offering personalization, advice in
real-time, and frictionless itinerary creation. This sets the historical backdrop that identifies
how an AI-powered travel solution, capable of dynamic adaptation to the traveller's
preferences and in a position to offer personalised end-to-end planning support, can be
viewed as responding to the gap left open by incumbent competitors."
2.2. OVERVIEW OF EXISTING SYSTEMS,61,62,"1. TRIPADVISOR
TripAdvisor pioneered the travel advice world by giving travellers user-generated reviews,
photos, and ratings on various hotels, restaurants, and travel destinations in different parts of
the world. They deploy machine learning to give recommendations personalised for the
history and preferences of the user. Though the database is huge, sometimes it becomes very
tedious on the part of the consumers to go through a number of reviews, and there might be
chances of receiving false or biassed reviews.
2. LONELY PLANET
Lonely Planet provides destination guides, culture articles, and pre-designed routes with
professionally curated travel content. This is more about professional-written, trusted content
over user-generated reviews. They lack AI-powered personalization, which makes
recommendations generic at times and, in fact, do not change upon the interests or taste of
users.
3. GOOGLE TRAVEL
It helps users in planning and organising their tour integrations, including Google Maps,
Search, and Calendar. It also provides personalised recommendations via AI, predicts the
price of flights, and personalised experiences with users based on their activity. Whereas it
seamlessly integrates into other Google tools, it doesn't provide social sharing or in-depth
user reviews that customers are accustomed to elsewhere, and it limits its overall capability as
a travel advisory resource.
4. BOOKING.COM
It started as a hotel reservation site, but it also now offers travel guides and tickets to
attractions. It makes use of machine learning in order to recommend your personalised hotel
options and deals based on user behaviour. The site focuses more on booking
accommodations, though; there are no highly detailed travel plans or effective personalization
beyond the services involving hotels.

5. AIRBNB EXPERIENCES
Airbnb Experiences allows users to book local activities and cultural experiences curated by
locals. It goes further by recommending activities, which best suit individual interests using
user reviews and preferences. This is not the full travel advisory service since the major focus
is activities and not travel guides, accommodations, or detailed itineraries in general.
6. EXPEDIA
It works on a wide variety of travel-related services in flight, accommodation, rental car
booking, and vacation packages. Expedia uses algorithms for personalization that recommend
flights and hotels, but most of the recommendations tend to bank on commercial goals of
promotions about discounts and bookings rather than delving deep into travelling advice or
offering personalised packages of their vacations."
2.3. REVIEW OF RELATED WORK,63,64,"The focus of this section shall be to review the relevant literature in the case of existing travel
advisory platforms. How user-generated content and AI inform and shape perceptions and
choices on the part of travellers is examined. Features and limitations against the platforms
TripAdvisor, Yelp, Google Travel, and a host of third-party websites indicate the lay of the
land and identify those areas in which the use of AI-driven systems might contribute even
more effectively to enhancing user satisfaction and efficiency in planning.
1.
TripAdvisor.
This company has become one of pioneers in the field of online travel advisory services by
using reviews and ratings based on the real customer experiences. Consumers’ generated
content is effective in Reforming traveller choices, and enriching choice making as it is
indicated by researches. However, it is still doubtful whether the reviews that the authors
provide are true or fake because fake reviews can lead to misleading of the users (Filieri et
al., 2015).

2.
Yelp and Social Influence
Yelp mixes reviews with following and friend connections, which puts a layer of social proof
into the mix. This social validation enhances the UX as users’ engagement and the level of
trust in the given recommendations. However, the platform has a weakness regarding
geographical scope of services (Luca, 2016).
3.
Google Travel’s Use of Artificial Intelligence to Customization
Google Travel collects the user’s history, interests, and location and uses AI to personalise
users’ travel suggestions. While being very refined, this system raises data privacy and
Google-related service dependency issues (López et al., 2019).
4.
Smart Recommendation System of Booking.com
The company has also included the smart recommendation engine that suggests possible
hotels to book from depending on the client’s preference. It then recommends similar
bookings based on the patterns of bookings made and since its main focus is housing, it is
somewhat restricted when compared to a general tripadvisor (Mauri et al., 2018).
5.
Expedia’s User-Centric Design
Expedia does emphasise simple navigation, and touches its customers to make the process of
choosing a trip as simple as possible. Despite having a full range of OTA services, Expedia
became less efficient as the competitor based on AI in terms of users’ customised
suggestions.

6.
Viator
Viator focuses on tours and activities reservation and provides travellers with the best options
in a destination. While it is popular for the booking of activities, it does not fully encompass
travel planning and users must book accommodations elsewhere (Zervas et al., 2017).
7.
Airbnb’s Recommendations based on trendsetters within a community
A study of Airbnb shows that it relates customers to local hosts so that they can get to know
the areas personally. They can recommend where to go, what to do and where to eat since
they are in close proximity hence a community recommendation system. However,
recommendations provided by Airbnb are bound to knowledge of the hosts (see, Guttentag,
2019).
8.
Kayak’s Aggregation Approach
In its current form, the website works as an operational system using a search engine to fill in
information from various travel-related sites and present users with Comparative pricing of a
particular deal. Yet, Kayak has minimal counsel and limited interface support when pricing is
compared (Law et al., 2020).
9.
Hopper’s Price Prediction
Hopper is identified to employ the use of machine learning techniques to anticipate airfare
and accommodation prices in the future and proffer a perfect time for booking. Such a tool is
aimed at saving user’s money on travelling but constantly focuses only on two aspects –
flights and hotels (Kumagai, 2021).

10. Roadtrippers for Personalised Road Trips
Roadtrippers helps users to plan driveaway trips individually, including stops on the way,
with regards to the users’ preferences. Despite this, it is more beneficial when choosing
destinations within the country, and is not very helpful when searching for international
locations (Hall et al., 2019).
11. City mapper for Urban Travel
Citymapper for instance concentrates on the provision of information to the citizens of the
cities. Although it is quite efficient in daily commutes, it is less so for multi-day travel
planning (as stated by Duffy et al. 2020).
12. Skyscanner’s Global Price Comparison
Skyscanner provides flight, lodging, and car leasing comparison across the world. One of its
main competencies is to offer options by regions but it does not have extensive planning
information and services (Tussyadiah & Pesonen, 2018)."
2.3.1. SUMMARY OF REVIEWED WORKS,65,66,"The reviewed articles discuss multiple diverse types of travel advisory websites and
applications that all help to provide multiple features and further perspectives into travel
planning. Such systems are primarily defined by the users participating in the creation of
content, various recommendations, and sophisticated technologies, including AI and ML.
Platforms like TripAdvisor and Yelp have taken advantage of user-generated content to
nurture reliable forms of travel reviews and ratings. Nevertheless, We found that issues of
content credibility and geographic restrictions remain to some extent. Likewise, in Airbnb
and Foursquare both, the recommendation is collected from the community rather than the
recommendation of an Algorithm i.e., hosts or users. While this approach makes each

corresponding communication unique, it does not extend beyond the information database of
the particular member who responded.
Leading AI-based applications like Google Travel and Hopper primarily rely on the concept
of customization, and predictive pricing elaborated as follows. Despite their utility, these
societal platforms overshadow privacy issues since data collection on people's massive for
profiling. Booking.com and Expedia have user-friendly design and uncluttered user interface
to make bookings less cumbersome without much added customization in comparison to
AI-based platforms.
Other travel service aggregators such as Kayak and Skyscanner offer a detailed price
comparison tool bar that assists consumers with the identification of cheaper services. But
they do not provide as detailed trip planning as the options for specific regions and the
up-to-date assistance like other platforms can. Like Rome2rio and Omio, Komoot involves
multiple means of transport, prevailing in Europe but has its shortcomings: inaccuracies in
real-time pricing and scarce coverage.
Special interest platforms are instances of specialised travel platforms; for instance,
Roadtrippers focuses on road trips only, while Citymapper is designed to help people
navigate cities. What has been proved to be fruitful for their target audiences is not so
comprehensive in planning for a complete trip.
In conclusion, most of the current systems offer certain very important services concerning
certain area like booking, local suggestion or transportation management and there is a
considerable gap for more holistic AI-based tools for virtually all the planning aspects related
to travel such as accommodation, transportation, sightseeing, budget and privacy on top of all
that. Based on this gap, it is clear that there is a need for a more extensive system that
incorporates some aspects of these systems in order to meet various travellers’ needs at one
place."
2.4. STRENGTH AND WEAKNESS OF EXISTING SYSTEMS,67,68,"Strengths:
1. User-generated reviews offering diverse and credible recommendations.

2.
Specialised reviews for discovering hidden gems in specific neighbourhoods.
3.
Unique accommodations with personal touches, distinct from traditional hotels.
4. Integration of tools (flights, maps, search) for comprehensive travel planning.
5.
Predictive services for identifying the best time to book flights and hotels at lower
prices.
6.
One-stop-shop for booking flights, accommodation, and activities.
7. Real-time transit options, including public transport, walking, and cycling.
Weaknesses:
Despite the strengths of these platforms, many have significant limitations. A major issue is
the lack of comprehensive trip planning tools, as platforms like Yelp, Foursquare, and
Booking.com often focus on specific aspects (e.g., restaurant reviews, accommodations)
without offering a full travel experience. Additionally, user-generated content on platforms
like TripAdvisor and Yelp can be unreliable, with fake or biassed reviews affecting the
quality of recommendations. Security concerns, inconsistent service quality, and the absence
of personalization features are also common drawbacks in services like Airbnb and Hopper.
Furthermore, platforms like Google Travel and Skyscanner, while excellent for specific needs
like flights and price comparisons, lack the social components and detailed itineraries that
could enhance a user's trip. In general, these systems often provide fragmented experiences
and fail to offer a fully integrated, personalised, and interactive travel platform."
2.5. GENERAL COMMENT,69,70,"Despite substantial development in travel advisory systems, no fully integrated AI solution
that seamlessly and personally plans your travels is available yet. Sites like TripAdvisor and
Yelp follow crowd-sourced reviews, while Google Travel and Hopper base their services on
algorithms for price comparisons and personalised suggestions. Most systems, however, are
lacking in service provision for creating highly detailed itineraries and personalised advice
for travel based on location and interests. For example, TripAdvisor provides reviews, while
failing in offering the scheduling of customised plans for the user, whereas Hopper does little
more than price comparison without considering the logistics of a trip.

The research points to the development of an AI-enabled travel advisory system that can
provide real-time, personalised recommendations catering to a traveller's needs, preferences,
time, and budget. A system like this would put together the strengths of the different
available platforms and overcome their weaknesses, besides offering a single-point solution
for hassle-free planning of travel. The AI-driven system described in this paper could
revolutionise the travel experience with its unique, end-to-end personalised travel solution
and thereby set a new benchmark for intelligent travel planning."
"CHAPTER 3
SYSTEM ANALYSIS AND DESIGN",71,72,
"3.1
INTRODUCTION",73,74,"This chapter presents system analysis and design for the Trip Advisor platform through
understanding the stakeholder's needs, assessing the current system, and determination of the

scope of the project. This is important in achieving the creation of a reliable and efficient
platform to meet user needs. Some of the key components identified in the system analysis
and design include data flow, data storage, and user interface design. The result of this stage
will be the detailed design of the system; it serves as a blueprint for developing the platform."
"3.1
SYSTEM ANALYSIS",75,76,"A system analysis was performed in developing and deploying the Trip Advisor platform, in
order to specify and outline the requirements and specifications of the system. During this
phase, we carried out the following important features:
Requirements Gathering: We had to engage with the would-be users of the platform to
understand their expectations and the features they would wish to see. Their responses
allowed us to identify and document the main requirements of the system the application
needed to address.
Feasibility Study: The feasibility study of the project was conducted to identify and establish
its technical and financial viability. Thus, in this regard, resources, costs, and long-term
maintenance needs involved in the development and operation of this platform were
analysed.
Use Case Analysis: Through the use case analysis, we were in a position to note various
scenarios and how the user would interact with the platform. This helped us in knowing what
the main features the app would have were and how these could be realised.
System Design: We designed the system architecture and the database schema based on the
gathered requirements and identified features. We decided to go with Firebase for the
backend and React and Vite JS for the frontend for an efficient, user-friendly platform.
Risk Analysis: Conducted a risk analysis in showing challenges that may arise which could
affect the development and deployment of the app. The inclusion is to be made for data
inaccuracies from AI-driven recommendations, algorithm bias, changes in AI model
performance, etc.

The system analysis phase of the project defined the scope of the project, which was then
followed by a review of its technical and financial feasibility. In addition, it detailed the
roadmap that must be pursued towards the successful development and implementation of the
Trip Advisor platform."
3.1.1 DESIGN,77,78,This section contains the description of the various fields required as input.
3.1.1.1 FRONT PAGE,79,80,"The user has the ability to start generating trips once they get to this page or they can choose
to log in first with their Google account."
3.1.1.2 CREATE TRIP,81,82,"The user can create a trip of their choosing based on their selections. The input fields are:
1. Location: This is the location of the destination they intend to go to.
2. Number of days: This is the number of days you plan on spending at the location
3. Budget: This is the intended budget you have decided to use for the trip
4. Number of people going: This is the number of people that will be going on the trip."
3.1.1.3 ACCOUNT PAGE,83,84,The user has the ability to see past trips that they have generated on their account.
